"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Todd Gurley II","LA","1","RB","1","1","0","13","0","1","0","0","100","17","13","13","0","","","","","","","","","","","","18","0","41","0","0","0","2.28","2.17","3","0.17","0","","","","","","","","","0","0","12.4","0.27","0.65"
"Damien Williams","KC","1","RB","3","2","0","-1","0","0","0","0","66.7","-3.67","-0.33","-0.5","2.5","","","","","","","","","","","","9","0","7","0","0","0","0.78","1.56","0","0","0","","","","","","","","","0","0","2.6","0.15","0.24"
"Senorise Perry","BUF","0","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"James White","NE","1","RB","7","7","0","59","0","0","0","0","100","0.43","8.43","8.43","8","","","","","","","","","","","","5","0","0","0","0","0","0","1","0","0","0","","","","","","","","","0","0","12.9","0.29","1.07"
"Devonta Freeman","ATL","1","RB","2","2","0","6","0","0","0","0","100","0.5","3","3","2.5","","","","","","","","","","","","7","0","19","0","0","0","2.71","0.43","0","0","1","","","","","","","","","0","0","4.5","0.15","0.5"
"Carlos Hyde","HST","1","RB","1","0","0","0","0","0","0","1","0","0","0","0","0","","","","","","","","","","","","12","0","35","0","0","0","2.92","2.67","4","0.33","0","","","","","","","","","0","0","3.5","0.14","0.29"
"Kenjon Barner","ATL","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Latavius Murray","NO","1","RB","6","5","0","31","0","0","0","0","83.3","-0.17","5.17","6.2","5.6","","","","","","","","","","","","27","0","119","1","2","0","4.41","2.96","4","0.15","0","","","","","","","","","0","0","32","0.5","1"
"Le'Veon Bell","NYJ","1","RB","4","1","0","6","0","0","0","0","25","4.75","1.5","6","2","","","","","","","","","","","","15","0","70","0","0","0","4.67","4.13","3","0.2","0","","","","","","","","","0","0","8.6","0.15","0.54"
"Giovani Bernard","CIN","1","RB","3","2","0","4","0","0","0","0","66.7","-5.33","1.33","2","7.5","","","","","","","","","","","","4","0","0","0","0","0","0","1","1","0.25","0","","","","","","","","","0","0","2.4","0.07","0.4"
